id,name
1,Электроника
2,Компьютеры
3,Техника
4,Рабочие инструменты
5,Офисная техника
6,Технологии
7,Периферийные устройства
8,Подарки
9,Гаджеты
10,Бытовая техника
11,Кухонные приборы
12,Электроприборы
13,Домашний интерьер
14,Кофе
15,Спорт
16,Транспорт
17,Активный отдых
18,Детские товары
19,Развлечения
20,Фотография
21,Образование
22,Литература
23,Искусство
24,Еда
25,Рестораны
26,Быстрое питание
27,Итальянская кухня
28,Доставка еды
29,Здоровье
30,Личная гигиена
31,Мода
32,Аксессуары
33,Украшения
34,Одежда
35,Путешествия
36,Музыка
37,Творчество
38,Связь
39,Обувь
40,Умные устройства
41,Уборка
42,Смартфоны
